step,epoch,train_loss
49,0,4.8855485916137695
99,0,4.988503456115723
149,0,4.580846309661865
199,0,5.3885345458984375
249,0,5.5927019119262695
299,0,4.627232551574707
349,0,3.9285144805908203
399,0,4.484644412994385
449,0,4.054960250854492
499,0,5.685885429382324
549,0,3.6266727447509766
599,0,4.0888214111328125
649,0,4.48812198638916
699,0,3.6769444942474365
749,0,4.222748279571533
799,0,4.18846321105957
849,0,3.997699737548828
899,0,4.173103332519531
949,0,4.561887741088867
999,0,4.636815071105957
1049,0,4.712215900421143
1099,0,4.455781936645508
1149,0,4.190343379974365
1199,0,4.651590347290039
1249,0,5.669002532958984
1299,0,4.871037483215332
1349,0,4.6905107498168945
1399,0,3.4252805709838867
1449,0,4.76516056060791
1499,0,3.0522661209106445
1549,0,3.881838321685791
1599,0,3.3512072563171387
1649,0,4.69403600692749
1699,0,4.362629413604736
1749,0,3.169628143310547
1799,0,2.870962142944336
1849,0,4.1313700675964355
1899,0,4.101387977600098
1949,0,3.311093330383301
1999,0,3.3879175186157227
2049,0,4.8727288246154785
2099,0,3.380718231201172
2149,0,3.72835111618042
2199,0,3.8569247722625732
2249,0,6.1145148277282715
2299,0,2.4867897033691406
2349,0,4.478447914123535
2399,0,4.772497177124023
2449,0,4.091553688049316
2499,0,4.023392677307129
2549,0,1.9758610725402832
2599,0,3.7430686950683594
2649,0,5.029317378997803
2699,0,3.2072579860687256
2749,0,2.24798321723938
2799,0,5.925198554992676
2849,0,4.5685811042785645
2899,0,3.7912073135375977
2949,0,3.601681709289551
2999,0,4.273881912231445
3049,0,4.786009788513184
3099,0,4.548201560974121
3149,0,2.9598169326782227
3199,0,3.085820436477661
3249,0,3.6747119426727295
3299,0,2.381122589111328
3349,0,4.129061698913574
3399,0,2.950540542602539
3449,0,4.868849754333496
3499,0,3.101393699645996
3549,0,1.6991794109344482
3599,0,2.4843482971191406
3649,0,1.9881222248077393
3699,0,2.0869803428649902
3749,0,4.051042556762695
3799,0,3.0047216415405273
3849,0,1.9586598873138428
3899,0,5.716724395751953
3949,0,2.597888708114624
3999,0,4.870510101318359
4049,0,3.5337047576904297
4099,0,4.057077407836914
4149,0,1.951167345046997
4199,0,2.1116881370544434
4249,0,3.8613224029541016
4299,0,1.7650389671325684
4349,0,4.31867790222168
4399,0,3.3673107624053955
4449,0,4.081861972808838
4499,0,2.8621766567230225
4549,0,5.3516645431518555
4599,0,1.9405603408813477
4649,0,1.8850631713867188
4699,0,3.1720166206359863
4749,0,2.7650625705718994
4799,0,6.140969753265381
4849,0,3.0322751998901367
4899,0,2.817446231842041
4949,0,3.7741403579711914
4999,0,2.804974317550659
5049,0,2.6619057655334473
5099,0,2.2293012142181396
5149,0,3.273827075958252
5199,0,7.60090446472168
5249,0,5.066009044647217
5299,0,2.9859111309051514
5349,0,4.523838043212891
5399,0,3.8413004875183105
5449,0,2.9775190353393555
5499,0,4.424482822418213
5549,0,5.949074745178223
5599,0,3.7643327713012695
5649,0,2.5725555419921875
5699,0,1.1200919151306152
5749,0,3.2811741828918457
5799,0,9.048791885375977
5849,0,4.399737358093262
5899,0,2.0536582469940186
5949,0,2.935800552368164
5999,0,3.0313382148742676
6049,0,1.7488441467285156
6099,0,4.566115379333496
6149,0,6.2100067138671875
6199,0,4.300465106964111
6249,0,3.718362808227539
6299,0,2.089216470718384
6349,0,2.6487696170806885
6399,0,3.3547325134277344
6449,0,4.0925092697143555
6499,0,2.778545379638672
6549,0,2.4647955894470215
6599,0,3.4950568675994873
6649,0,2.569676160812378
6699,0,2.4759750366210938
6749,0,4.0866217613220215
6799,0,3.800281524658203
6849,0,3.2733001708984375
6899,0,2.6732959747314453
6949,0,5.0307793617248535
6999,0,3.3543472290039062
7049,0,1.696251392364502
7099,0,0.4723328948020935
7149,0,2.084341526031494
7199,0,2.030040740966797
7249,0,4.160740375518799
7299,0,2.2869091033935547
7349,0,3.5173604488372803
7399,0,3.924614667892456
7449,0,3.5130786895751953
7499,0,1.2315926551818848
7549,0,1.3815175294876099
7599,0,3.5848867893218994
7649,0,0.9435117840766907
7699,0,2.0742878913879395
7749,0,3.3054771423339844
7799,0,1.4552011489868164
7849,0,2.349912166595459
7899,0,1.7511417865753174
7949,0,2.6776022911071777
7999,0,3.687748432159424
8049,0,3.9092648029327393
8099,0,3.7856736183166504
8149,0,10.305274963378906
8199,0,4.182821273803711
8249,0,1.440674066543579
8299,0,0.8385262489318848
8349,0,1.5003461837768555
8399,0,3.217776298522949
8449,0,4.221904754638672
8499,0,1.6438555717468262
8549,0,4.031695365905762
8599,0,0.42878395318984985
8649,0,3.726820468902588
8699,0,4.594223976135254
8749,0,2.8313496112823486
8799,0,1.9330567121505737
8849,0,3.353332996368408
8899,0,1.3537166118621826
8949,0,4.490183353424072
8999,0,1.7504185438156128
9049,0,2.6156105995178223
9099,0,4.903620719909668
9149,0,4.100788116455078
9199,0,3.346883535385132
9249,0,3.4989609718322754
9299,0,1.7832882404327393
9349,0,3.3385400772094727
9399,0,3.284200668334961
9449,0,1.263500690460205
9499,0,0.1723422408103943
9549,0,3.3609089851379395
9599,0,3.1964964866638184
9649,0,0.5300164818763733
9699,0,3.605210781097412
9749,0,2.5772206783294678
9799,0,2.411426544189453
9849,0,3.2498574256896973
9899,0,3.0316195487976074
9949,0,1.3031823635101318
9999,0,1.7715060710906982
10049,0,3.026961326599121
10099,0,2.55179762840271
10149,0,2.4405014514923096
10199,0,2.465122699737549
10249,0,3.4674150943756104
10299,0,3.4720311164855957
10349,0,5.115818977355957
10399,0,1.8736997842788696
10449,0,4.608377456665039
10499,0,2.5078582763671875
10549,0,2.704592227935791
10599,0,2.903489589691162
10649,0,3.1202549934387207
