train_loss,step,epoch
4.821523666381836,49,0
4.846482276916504,99,0
4.631400108337402,149,0
5.53688907623291,199,0
5.483304023742676,249,0
4.791779518127441,299,0
4.162034034729004,349,0
4.3551025390625,399,0
4.236265182495117,449,0
5.662917613983154,499,0
3.6201283931732178,549,0
3.991730213165283,599,0
4.4432477951049805,649,0
3.7566044330596924,699,0
4.050392150878906,749,0
4.09384822845459,799,0
4.0643768310546875,849,0
4.2866902351379395,899,0
4.612851619720459,949,0
4.504119873046875,999,0
4.825528144836426,1049,0
4.283414840698242,1099,0
4.302717685699463,1149,0
4.849177360534668,1199,0
5.842451095581055,1249,0
4.742516040802002,1299,0
4.6760783195495605,1349,0
3.8836846351623535,1399,0
4.525225639343262,1449,0
3.3118910789489746,1499,0
3.5613210201263428,1549,0
3.8945887088775635,1599,0
4.4899115562438965,1649,0
3.8516554832458496,1699,0
3.562769651412964,1749,0
2.8750343322753906,1799,0
3.6450397968292236,1849,0
3.885387659072876,1899,0
3.042797565460205,1949,0
3.0124826431274414,1999,0
4.624309539794922,2049,0
2.6830523014068604,2099,0
3.864043951034546,2149,0
3.929513454437256,2199,0
5.871519088745117,2249,0
2.0425100326538086,2299,0
4.5116190910339355,2349,0
4.575233459472656,2399,0
3.7003440856933594,2449,0
3.3635292053222656,2499,0
1.8151507377624512,2549,0
3.9129061698913574,2599,0
5.537408351898193,2649,0
4.520092487335205,2699,0
2.5023603439331055,2749,0
6.038375377655029,2799,0
4.2446160316467285,2849,0
4.257723808288574,2899,0
3.263422966003418,2949,0
4.361073017120361,2999,0
4.253293514251709,3049,0
4.386480808258057,3099,0
3.6641488075256348,3149,0
3.6270885467529297,3199,0
2.8716208934783936,3249,0
2.9984912872314453,3299,0
3.5150043964385986,3349,0
3.9073405265808105,3399,0
4.557910442352295,3449,0
2.3228847980499268,3499,0
2.5692381858825684,3549,0
1.5677427053451538,3599,0
1.8074617385864258,3649,0
2.4778220653533936,3699,0
2.8578267097473145,3749,0
3.165977716445923,3799,0
2.1733803749084473,3849,0
5.544646263122559,3899,0
3.308875560760498,3949,0
2.6503305435180664,3999,0
3.81400728225708,4049,0
1.6142715215682983,4099,0
2.213470220565796,4149,0
3.0961453914642334,4199,0
3.5113306045532227,4249,0
2.017383337020874,4299,0
4.5564751625061035,4349,0
3.194830894470215,4399,0
4.721358776092529,4449,0
2.272068738937378,4499,0
3.4071366786956787,4549,0
3.5449137687683105,4599,0
1.637898564338684,4649,0
2.4135079383850098,4699,0
1.984721302986145,4749,0
3.4214024543762207,4799,0
3.2666985988616943,4849,0
2.2628026008605957,4899,0
3.3718762397766113,4949,0
3.1635963916778564,4999,0
3.4377059936523438,5049,0
3.535773277282715,5099,0
2.265847682952881,5149,0
6.838013648986816,5199,0
4.445566654205322,5249,0
3.072421073913574,5299,0
3.2987241744995117,5349,0
3.874497413635254,5399,0
3.1773953437805176,5449,0
3.8274664878845215,5499,0
5.210296154022217,5549,0
3.411406993865967,5599,0
4.19874382019043,5649,0
1.0531587600708008,5699,0
2.913275718688965,5749,0
9.601343154907227,5799,0
3.8992748260498047,5849,0
2.622694730758667,5899,0
2.420606851577759,5949,0
2.370474338531494,5999,0
2.149834394454956,6049,0
7.21189022064209,6099,0
4.977191925048828,6149,0
4.438990592956543,6199,0
3.52683687210083,6249,0
1.785421371459961,6299,0
2.897350311279297,6349,0
3.685368061065674,6399,0
4.259182453155518,6449,0
2.6336050033569336,6499,0
2.3365063667297363,6549,0
3.5336787700653076,6599,0
2.6070146560668945,6649,0
2.3665120601654053,6699,0
2.8438804149627686,6749,0
3.485288619995117,6799,0
3.33495831489563,6849,0
3.2289154529571533,6899,0
6.022674560546875,6949,0
3.6952927112579346,6999,0
1.067379117012024,7049,0
1.0684542655944824,7099,0
2.590878486633301,7149,0
3.1092984676361084,7199,0
4.1948137283325195,7249,0
2.8255465030670166,7299,0
2.992194652557373,7349,0
4.969367027282715,7399,0
3.876657724380493,7449,0
0.4027366638183594,7499,0
1.690194845199585,7549,0
3.214700222015381,7599,0
2.6413652896881104,7649,0
2.7502455711364746,7699,0
3.964498281478882,7749,0
1.7849620580673218,7799,0
2.431657314300537,7849,0
2.180217742919922,7899,0
3.0591800212860107,7949,0
3.309697151184082,7999,0
4.544404983520508,8049,0
4.770142555236816,8099,0
14.044010162353516,8149,0
4.498227119445801,8199,0
1.555890440940857,8249,0
0.7625893950462341,8299,0
0.4673337936401367,8349,0
3.2921969890594482,8399,0
3.703942060470581,8449,0
0.5040163993835449,8499,0
2.451402187347412,8549,0
0.6115872859954834,8599,0
3.6597490310668945,8649,0
