train_loss,epoch,step
4.948736190795898,0,49
5.024374961853027,0,99
4.555994510650635,0,149
5.427064895629883,0,199
5.538327217102051,0,249
4.65886116027832,0,299
4.094731330871582,0,349
4.3527350425720215,0,399
4.2259016036987305,0,449
5.912156105041504,0,499
3.5142951011657715,0,549
3.9823408126831055,0,599
4.275286674499512,0,649
3.902843952178955,0,699
4.22266960144043,0,749
4.259000778198242,0,799
3.8649978637695312,0,849
4.134881019592285,0,899
4.812552452087402,0,949
4.6866044998168945,0,999
4.424459457397461,0,1049
4.707942962646484,0,1099
4.325217247009277,0,1149
4.821445465087891,0,1199
6.304871559143066,0,1249
4.822063446044922,0,1299
4.734887599945068,0,1349
4.268679141998291,0,1399
4.486307144165039,0,1449
3.4728658199310303,0,1499
3.5983924865722656,0,1549
3.3777976036071777,0,1599
4.911859035491943,0,1649
4.059283256530762,0,1699
2.9997975826263428,0,1749
1.9954103231430054,0,1799
4.055492401123047,0,1849
4.3322434425354,0,1899
3.428588390350342,0,1949
3.502113103866577,0,1999
4.612077713012695,0,2049
3.0133132934570312,0,2099
3.51577091217041,0,2149
3.8286213874816895,0,2199
6.276319980621338,0,2249
2.7477455139160156,0,2299
4.100477695465088,0,2349
3.6973705291748047,0,2399
3.3623523712158203,0,2449
2.4685919284820557,0,2499
2.0488860607147217,0,2549
3.703023672103882,0,2599
4.782853126525879,0,2649
3.4793052673339844,0,2699
2.765035629272461,0,2749
5.9308271408081055,0,2799
4.047101974487305,0,2849
4.723531723022461,0,2899
3.772618293762207,0,2949
3.5637683868408203,0,2999
3.850769519805908,0,3049
4.5876970291137695,0,3099
3.209278106689453,0,3149
2.690778970718384,0,3199
2.8172965049743652,0,3249
2.3501782417297363,0,3299
4.290456295013428,0,3349
3.1705713272094727,0,3399
4.731528282165527,0,3449
3.1264991760253906,0,3499
2.1179070472717285,0,3549
1.6136637926101685,0,3599
2.395209312438965,0,3649
3.126858711242676,0,3699
3.618853807449341,0,3749
3.6653292179107666,0,3799
3.0450398921966553,0,3849
5.030299663543701,0,3899
3.5003325939178467,0,3949
2.709561347961426,0,3999
3.547213315963745,0,4049
2.2301979064941406,0,4099
2.4310507774353027,0,4149
2.2618672847747803,0,4199
4.0660929679870605,0,4249
1.8183566331863403,0,4299
4.98817253112793,0,4349
4.185251712799072,0,4399
4.699979782104492,0,4449
2.7313833236694336,0,4499
4.0700788497924805,0,4549
1.1802738904953003,0,4599
1.4180545806884766,0,4649
2.3965067863464355,0,4699
2.987447738647461,0,4749
3.480933666229248,0,4799
2.693077802658081,0,4849
2.430304765701294,0,4899
2.868764877319336,0,4949
3.938178539276123,0,4999
2.2777271270751953,0,5049
2.7273483276367188,0,5099
2.1821227073669434,0,5149
6.901028156280518,0,5199
4.229691028594971,0,5249
2.6684906482696533,0,5299
3.040522575378418,0,5349
3.4987144470214844,0,5399
3.3518805503845215,0,5449
3.7111051082611084,0,5499
4.207257270812988,0,5549
2.61472225189209,0,5599
2.5538744926452637,0,5649
1.8130017518997192,0,5699
2.5240566730499268,0,5749
10.912610054016113,0,5799
4.943692207336426,0,5849
2.1380317211151123,0,5899
2.636457920074463,0,5949
3.796848773956299,0,5999
2.0489554405212402,0,6049
5.21720027923584,0,6099
4.370203971862793,0,6149
4.332327842712402,0,6199
